NTASData [id=16594992538, subwayLine=YUS, stationId=UNI2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=9.525533333333334, timeString=09.53, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992539, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.471382222222222, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992540, subwayLine=YUS, stationId=STA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=6.358693333333333, timeString=06.36, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992541, subwayLine=YUS, stationId=STA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.452222222222222, timeString=10.45, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992542, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.166648888888888, timeString=04.17, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992543, subwayLine=YUS, stationId=OSG2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.05396, timeString=07.05, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992544, subwayLine=YUS, stationId=OSG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.147488888888887, timeString=11.15, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992545, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.920617777777777, timeString=04.92, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992546, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.80792888888889, timeString=07.81, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992547, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.901457777777775, timeString=11.90, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992548, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=0.8873066666666667, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992549, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.062924444444445, timeString=06.06, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992550, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.950235555555556, timeString=08.95, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992551, subwayLine=YUS, stationId=MUS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.14984, timeString=02.15, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992552, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=7.3254577777777765, timeString=07.33, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992553, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.212768888888888, timeString=10.21, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992554, subwayLine=YUS, stationId=SGU2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
