NTASData [id=16593919090, subwayLine=BD, stationId=DNW2, trainId=213, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919091, subwayLine=BD, stationId=DNW2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=6.723446622910217, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919092, subwayLine=BD, stationId=DNW2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=8.657277830340558, timeString=08.66, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919093, subwayLine=BD, stationId=KEL2, trainId=212, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919094, subwayLine=BD, stationId=KEL2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=1.1358531269349847, timeString=01.14, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919095, subwayLine=BD, stationId=KEL2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=7.859299749845201, timeString=07.86, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919096, subwayLine=BD, stationId=HPK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=1.1957279256965947, timeString=01.20, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919097, subwayLine=BD, stationId=HPK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=2.331581052631579, timeString=02.33, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919098, subwayLine=BD, stationId=HPK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=9.055027675541796, timeString=09.06, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919099, subwayLine=BD, stationId=RUN2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=2.41608520123839, timeString=02.42, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919100, subwayLine=BD, stationId=RUN2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=3.551938328173375, timeString=03.55, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919101, subwayLine=BD, stationId=RUN2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=10.275384951083593, timeString=10.28, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919102, subwayLine=BD, stationId=JNE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=3.6309504148606817, timeString=03.63, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919103, subwayLine=BD, stationId=JNE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=4.766803541795666, timeString=04.77, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919104, subwayLine=BD, stationId=JNE2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=11.490250164705882, timeString=11.49, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919105, subwayLine=BD, stationId=OML2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=5.234619640866875, timeString=05.23, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919106, subwayLine=BD, stationId=OML2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=6.370472767801857, timeString=06.37, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919107, subwayLine=BD, stationId=OML2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=13.093919390712076, timeString=13.09, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919108, subwayLine=BD, stationId=RYK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=7.651872728173377, timeString=07.65, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919109, subwayLine=BD, stationId=RYK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=8.78772585510836, timeString=08.79, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919110, subwayLine=BD, stationId=RYK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=15.511172478018576, timeString=15.51, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919111, subwayLine=BD, stationId=ISL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=0.2443684458204335, timeString=00.24, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919112, subwayLine=BD, stationId=ISL2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.879366583281735, timeString=09.88, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919113, subwayLine=BD, stationId=ISL2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=11.01521971021672, timeString=11.02, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919114, subwayLine=BD, stationId=KIP2, trainId=209, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919115, subwayLine=BD, stationId=KIP2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.59276693003096, timeString=02.59, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919116, subwayLine=BD, stationId=KIP2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=12.227765067492262, timeString=12.23, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919117, subwayLine=BD, stationId=KIP1, trainId=210, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919118, subwayLine=BD, stationId=KIP1, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=2.59276693003096, timeString=02.59, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919119, subwayLine=BD, stationId=KIP1, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=12.227765067492262, timeString=12.23, trainDestination=KIP2, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919120, subwayLine=BD, stationId=RYK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=1.7499068136222913, timeString=01.75, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919121, subwayLine=BD, stationId=OML1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=4.168892448297214, timeString=04.17, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919122, subwayLine=BD, stationId=JNE1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=0.23949919504643966, timeString=00.24, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919123, subwayLine=BD, stationId=JNE1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=5.764634986996905, timeString=05.76, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919124, subwayLine=BD, stationId=RUN1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=1.369435616099071, timeString=01.37, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919125, subwayLine=BD, stationId=RUN1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=6.8945714080495355, timeString=06.89, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919126, subwayLine=BD, stationId=HPK1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=2.594322427244582, timeString=02.59, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919127, subwayLine=BD, stationId=HPK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=8.119458219195048, timeString=08.12, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919128, subwayLine=BD, stationId=KEL1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=3.8364780928792572, timeString=03.84, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919129, subwayLine=BD, stationId=KEL1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=9.361613884829724, timeString=09.36, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919130, subwayLine=BD, stationId=DNW1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=4.78662026006192, timeString=04.79, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919131, subwayLine=BD, stationId=DNW1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=10.311756052012385, timeString=10.31, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919132, subwayLine=BD, stationId=LAN1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=1.1663554179566566, timeString=01.17, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919133, subwayLine=BD, stationId=LAN1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=6.2079756780185775, timeString=06.21, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919134, subwayLine=BD, stationId=LAN1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=11.73311146996904, timeString=11.73, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919135, subwayLine=BD, stationId=DUF1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=2.045865139318886, timeString=02.05, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919136, subwayLine=BD, stationId=DUF1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=7.087485399380807, timeString=07.09, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919137, subwayLine=BD, stationId=DUF1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=12.61262119133127, timeString=12.61, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919138, subwayLine=BD, stationId=OSS1, trainId=205, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919139, subwayLine=BD, stationId=OSS1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=3.29566439628483, timeString=03.30, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919140, subwayLine=BD, stationId=OSS1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=8.33728465634675, timeString=08.34, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919141, subwayLine=BD, stationId=CHR1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=1.2334759430340558, timeString=01.23, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919142, subwayLine=BD, stationId=CHR1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=4.529140339318886, timeString=04.53, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919143, subwayLine=BD, stationId=CHR1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=9.570760599380806, timeString=09.57, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919144, subwayLine=BD, stationId=BAT1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=2.216881887306502, timeString=02.22, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919145, subwayLine=BD, stationId=BAT1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=5.512546283591332, timeString=05.51, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919146, subwayLine=BD, stationId=BAT1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=10.554166543653253, timeString=10.55, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919147, subwayLine=BD, stationId=BSP1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=3.1510291318885453, timeString=03.15, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919148, subwayLine=BD, stationId=BSP1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=6.446693528173375, timeString=06.45, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919149, subwayLine=BD, stationId=BSP1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=11.488313788235295, timeString=11.49, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919150, subwayLine=BD, stationId=SGL1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=0.6556502786377709, timeString=00.66, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16593919151, subwayLine=BD, stationId=SGL1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=4.061679410526317, timeString=04.06, trainDestination=KEN1, createDate=Sun Sep 17 11:18:14 EDT 2017, systemMessageType=Normal]
