NTASData [id=16593715247, subwayLine=BD, stationId=MST1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=6.182893374613004, timeString=06.18, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715248, subwayLine=BD, stationId=MST1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=10.096203715170278, timeString=10.10, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715249, subwayLine=BD, stationId=VPK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=3.645357399380805, timeString=03.65, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715250, subwayLine=BD, stationId=VPK1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.358416470588235, timeString=08.36, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715251, subwayLine=BD, stationId=VPK1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=12.271726811145511, timeString=12.27, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715252, subwayLine=BD, stationId=WAR1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=1.1751313931888545, timeString=01.18, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715253, subwayLine=BD, stationId=WAR1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=7.587682476780186, timeString=07.59, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715254, subwayLine=BD, stationId=WAR1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=12.300741547987617, timeString=12.30, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715255, subwayLine=BD, stationId=KEN1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.2120527702786381, timeString=01.21, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715256, subwayLine=BD, stationId=KEN1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=6.2565384222910225, timeString=06.26, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715257, subwayLine=BD, stationId=KEN1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=12.669089505882354, timeString=12.67, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715258, subwayLine=BD, stationId=KEN2, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.2120527702786381, timeString=01.21, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715259, subwayLine=BD, stationId=KEN2, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=6.2565384222910225, timeString=06.26, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715260, subwayLine=BD, stationId=KEN2, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=12.669089505882354, timeString=12.67, trainDestination=KEN1, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715261, subwayLine=BD, stationId=WAR2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=2.710179685448917, timeString=02.71, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715262, subwayLine=BD, stationId=VPK2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=6.658279920743035, timeString=06.66, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715263, subwayLine=BD, stationId=MST2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=1.341308730650155, timeString=01.34, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715264, subwayLine=BD, stationId=MST2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=8.897782707120745, timeString=08.90, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715265, subwayLine=BD, stationId=WDB2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=3.075202105263158, timeString=03.08, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715266, subwayLine=BD, stationId=WDB2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=10.63167608173375, timeString=10.63, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715267, subwayLine=BD, stationId=COX2, trainId=214, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715268, subwayLine=BD, stationId=COX2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=4.382469845201239, timeString=04.38, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715269, subwayLine=BD, stationId=COX2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=11.93894382167183, timeString=11.94, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715270, subwayLine=BD, stationId=GWD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=0.9429232198142415, timeString=00.94, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715271, subwayLine=BD, stationId=GWD2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=5.32539306501548, timeString=05.33, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715272, subwayLine=BD, stationId=GWD2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=12.881867041486071, timeString=12.88, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715273, subwayLine=BD, stationId=DON2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=2.134404705882353, timeString=02.13, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715274, subwayLine=BD, stationId=DON2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=6.516874551083593, timeString=06.52, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715275, subwayLine=BD, stationId=DON2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=14.073348527554183, timeString=14.07, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715276, subwayLine=BD, stationId=PAP2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=3.064871702786378, timeString=03.06, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715277, subwayLine=BD, stationId=PAP2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=7.447341547987618, timeString=07.45, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715278, subwayLine=BD, stationId=PAP2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=15.003815524458208, timeString=15.00, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715279, subwayLine=BD, stationId=CHE2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=4.092440619195047, timeString=04.09, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715280, subwayLine=BD, stationId=CHE2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=8.474910464396286, timeString=08.47, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715281, subwayLine=BD, stationId=CHE2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=16.031384440866876, timeString=16.03, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715282, subwayLine=BD, stationId=BRD2, trainId=213, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715283, subwayLine=BD, stationId=BRD2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=5.170496871826626, timeString=05.17, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715284, subwayLine=BD, stationId=BRD2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=9.552966717027866, timeString=09.55, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715285, subwayLine=BD, stationId=CFK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=1.3638869349845204, timeString=01.36, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16593715286, subwayLine=BD, stationId=CFK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=6.534383806811146, timeString=06.53, trainDestination=KIP2, createDate=Sun Sep 17 11:03:26 EDT 2017, systemMessageType=Normal]
