NTASData [id=16594133719, subwayLine=YUS, stationId=DUN1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=2.8644511111111113, timeString=02.86, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133720, subwayLine=YUS, stationId=DUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.017768888888888, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133721, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.6213911111111112, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133722, subwayLine=YUS, stationId=COL1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=3.731308888888889, timeString=03.73, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133723, subwayLine=YUS, stationId=COL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.884626666666668, timeString=06.88, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133724, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.539048888888889, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133725, subwayLine=YUS, stationId=WEL1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=4.6489666666666665, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133726, subwayLine=YUS, stationId=WEL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.802284444444444, timeString=07.80, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133727, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133728, subwayLine=YUS, stationId=BLO1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.493395555555556, timeString=03.49, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133729, subwayLine=YUS, stationId=BLO1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=5.6033133333333325, timeString=05.60, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133730, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133731, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.82196888888889, timeString=04.82, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133732, subwayLine=YUS, stationId=ROS1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=6.931886666666667, timeString=06.93, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133733, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133734, subwayLine=YUS, stationId=SUM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.8513866666666665, timeString=05.85, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133735, subwayLine=YUS, stationId=SUM1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=7.961304444444444, timeString=07.96, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133736, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133737, subwayLine=YUS, stationId=STC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.259546666666667, timeString=07.26, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
NTASData [id=16594133738, subwayLine=YUS, stationId=STC1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=9.369464444444443, timeString=09.37, trainDestination=FIN1, createDate=Sun Sep 17 11:33:55 EDT 2017, systemMessageType=Normal]
