NTASData [id=16593816662, subwayLine=YUS, stationId=SHP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.4079866666666665, timeString=03.41, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816663, subwayLine=YUS, stationId=YKM2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.778, timeString=01.78, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816664, subwayLine=YUS, stationId=YKM2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=6.988693333333333, timeString=06.99, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816665, subwayLine=YUS, stationId=LAW2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=5.2909733333333335, timeString=05.29, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816666, subwayLine=YUS, stationId=LAW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=10.501666666666665, timeString=10.50, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816667, subwayLine=YUS, stationId=EGL2, trainId=5, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816668, subwayLine=YUS, stationId=EGL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=9.573848888888888, timeString=09.57, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816669, subwayLine=YUS, stationId=EGL2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=14.78454222222222, timeString=14.78, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816670, subwayLine=YUS, stationId=DAV2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593816671, subwayLine=YUS, stationId=DAV2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=11.183515555555555, timeString=11.18, trainDestination=SHW2, createDate=Sun Sep 17 11:10:48 EDT 2017, systemMessageType=Normal]
