NTASData [id=16595125806, subwayLine=YUS, stationId=LAW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125807, subwayLine=YUS, stationId=LAW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=8.554333333333332, timeString=08.55, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125808, subwayLine=YUS, stationId=EGL2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125809, subwayLine=YUS, stationId=EGL2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125810, subwayLine=YUS, stationId=EGL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=12.837208888888886, timeString=12.84, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125811, subwayLine=YUS, stationId=DAV2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125812, subwayLine=YUS, stationId=DAV2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125813, subwayLine=YUS, stationId=DAV2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=14.446875555555556, timeString=14.45, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125814, subwayLine=YUS, stationId=STC2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125815, subwayLine=YUS, stationId=STC2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125816, subwayLine=YUS, stationId=STC2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=16.486084444444444, timeString=16.49, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125817, subwayLine=YUS, stationId=SUM2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=0.5006622222222222, timeString=00.50, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125818, subwayLine=YUS, stationId=SUM2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125819, subwayLine=YUS, stationId=SUM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=12.848933333333331, timeString=12.85, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125820, subwayLine=YUS, stationId=ROS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.5193555555555553, timeString=01.52, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125821, subwayLine=YUS, stationId=ROS2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125822, subwayLine=YUS, stationId=ROS2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=13.867626666666665, timeString=13.87, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125823, subwayLine=YUS, stationId=BLO2, trainId=121, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125824, subwayLine=YUS, stationId=BLO2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.8473644444444446, timeString=02.85, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125825, subwayLine=YUS, stationId=BLO2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125826, subwayLine=YUS, stationId=WEL2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125827, subwayLine=YUS, stationId=WEL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.8017111111111115, timeString=03.80, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125828, subwayLine=YUS, stationId=WEL2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125829, subwayLine=YUS, stationId=COL2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.8838577777777779, timeString=01.88, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125830, subwayLine=YUS, stationId=COL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=4.731222222222223, timeString=04.73, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125831, subwayLine=YUS, stationId=COL2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=9.283644444444443, timeString=09.28, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125832, subwayLine=YUS, stationId=DUN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125833, subwayLine=YUS, stationId=DUN2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=5.5980799999999995, timeString=05.60, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125834, subwayLine=YUS, stationId=DUN2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=10.15050222222222, timeString=10.15, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125835, subwayLine=YUS, stationId=QUN2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125836, subwayLine=YUS, stationId=QUN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125837, subwayLine=YUS, stationId=QUN2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=6.354871111111111, timeString=06.35, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125838, subwayLine=YUS, stationId=KNG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=0.8256533333333334, timeString=00.83, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125839, subwayLine=YUS, stationId=KNG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125840, subwayLine=YUS, stationId=KNG2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=7.180524444444444, timeString=07.18, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125841, subwayLine=YUS, stationId=UNI2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.6326800000000001, timeString=01.63, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125842, subwayLine=YUS, stationId=UNI2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125843, subwayLine=YUS, stationId=UNI2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=7.987551111111111, timeString=07.99, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125844, subwayLine=YUS, stationId=STA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=0.4373033333333333, timeString=00.44, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125845, subwayLine=YUS, stationId=STA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.559368888888889, timeString=02.56, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125846, subwayLine=YUS, stationId=STA2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=6.066875555555555, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125847, subwayLine=YUS, stationId=OSG2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.1325699999999999, timeString=01.13, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125848, subwayLine=YUS, stationId=OSG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.2546355555555553, timeString=03.25, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125849, subwayLine=YUS, stationId=OSG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125850, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.8865388888888888, timeString=01.89, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125851, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.008604444444444, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125852, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125853, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.028845555555556, timeString=03.03, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125854, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.15091111111111, timeString=05.15, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125855, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125856, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125857, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=4.291378888888889, timeString=04.29, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125858, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=6.413444444444444, timeString=06.41, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125859, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.1595222222222223, timeString=01.16, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125860, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.45090111111111, timeString=05.45, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125861, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.572966666666666, timeString=07.57, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125862, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.3272288888888886, timeString=02.33, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125863, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=6.618607777777777, timeString=06.62, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125864, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=8.740673333333332, timeString=08.74, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
