NTASData [id=16593655141, subwayLine=YUS, stationId=WEL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.26754666666666665, timeString=00.27, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655142, subwayLine=YUS, stationId=WEL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=2.284048888888889, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655143, subwayLine=YUS, stationId=WEL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=3.74288, timeString=03.74, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655144, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.2218933333333333, timeString=01.22, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655145, subwayLine=YUS, stationId=BLO1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=3.238395555555556, timeString=03.24, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655146, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=4.697226666666666, timeString=04.70, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655147, subwayLine=YUS, stationId=ROS1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.550466666666667, timeString=02.55, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655148, subwayLine=YUS, stationId=ROS1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=4.566968888888889, timeString=04.57, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655149, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.0258, timeString=06.03, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655150, subwayLine=YUS, stationId=SUM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.5798844444444446, timeString=03.58, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16593655151, subwayLine=YUS, stationId=SUM1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=5.5963866666666675, timeString=05.60, trainDestination=FIN1, createDate=Sun Sep 17 10:58:24 EDT 2017, systemMessageType=Normal]
