NTASData [id=16594401912, subwayLine=YUS, stationId=QUN2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=0.06378222222222223, timeString=00.06, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401913, subwayLine=YUS, stationId=QUN2, trainId=114, trainMessage=Delayed, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401914, subwayLine=YUS, stationId=QUN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=7.258417777777778, timeString=07.26, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401915, subwayLine=YUS, stationId=KNG2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=0.8894355555555556, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401916, subwayLine=YUS, stationId=KNG2, trainId=114, trainMessage=Delayed, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401917, subwayLine=YUS, stationId=KNG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=8.084071111111111, timeString=08.08, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401918, subwayLine=YUS, stationId=UNI2, trainId=111, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401919, subwayLine=YUS, stationId=UNI2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.6964622222222223, timeString=01.70, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401920, subwayLine=YUS, stationId=UNI2, trainId=114, trainMessage=Delayed, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401921, subwayLine=YUS, stationId=STA2, trainId=110, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401922, subwayLine=YUS, stationId=STA2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=0.9266888888888889, timeString=00.93, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401923, subwayLine=YUS, stationId=STA2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.623151111111111, timeString=02.62, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401924, subwayLine=YUS, stationId=OSG2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=0.6952666666666667, timeString=00.70, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401925, subwayLine=YUS, stationId=OSG2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=1.6219555555555556, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401926, subwayLine=YUS, stationId=OSG2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.3184177777777775, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401927, subwayLine=YUS, stationId=STP2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=1.4492355555555556, timeString=01.45, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401928, subwayLine=YUS, stationId=STP2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401929, subwayLine=YUS, stationId=STP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=4.072386666666667, timeString=04.07, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401930, subwayLine=YUS, stationId=QPK2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=2.591542222222222, timeString=02.59, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401931, subwayLine=YUS, stationId=QPK2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401932, subwayLine=YUS, stationId=QPK2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=5.214693333333333, timeString=05.21, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401933, subwayLine=YUS, stationId=MUS2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=0.21166666666666667, timeString=00.21, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401934, subwayLine=YUS, stationId=MUS2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.8540755555555553, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401935, subwayLine=YUS, stationId=MUS2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401936, subwayLine=YUS, stationId=SGU2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=0.3654777777777778, timeString=00.37, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401937, subwayLine=YUS, stationId=SGU2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=1.3711888888888888, timeString=01.37, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401938, subwayLine=YUS, stationId=SGU2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=5.013597777777777, timeString=05.01, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401939, subwayLine=YUS, stationId=SPA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=1.5331844444444447, timeString=01.53, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401940, subwayLine=YUS, stationId=SPA2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=2.5388955555555555, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401941, subwayLine=YUS, stationId=SPA2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=6.181304444444445, timeString=06.18, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401942, subwayLine=YUS, stationId=DUP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=2.530993333333333, timeString=02.53, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401943, subwayLine=YUS, stationId=DUP2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=3.5367044444444447, timeString=03.54, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401944, subwayLine=YUS, stationId=DUP2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=7.1791133333333335, timeString=07.18, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401945, subwayLine=YUS, stationId=SCW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=5.155531111111111, timeString=05.16, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401946, subwayLine=YUS, stationId=SCW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=6.1612422222222225, timeString=06.16, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401947, subwayLine=YUS, stationId=SCW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=9.803651111111112, timeString=09.80, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401948, subwayLine=YUS, stationId=EGW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=0.27774074074074073, timeString=00.28, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401949, subwayLine=YUS, stationId=EGW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.968702222222223, timeString=09.97, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401950, subwayLine=YUS, stationId=EGW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=10.974413333333334, timeString=10.97, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401951, subwayLine=YUS, stationId=GCN2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=2.097380740740741, timeString=02.10, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401952, subwayLine=YUS, stationId=GCN2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=11.788342222222223, timeString=11.79, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401953, subwayLine=YUS, stationId=GCN2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=12.794053333333334, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401954, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=3.461514074074074, timeString=03.46, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401955, subwayLine=YUS, stationId=LWW2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=13.152475555555556, timeString=13.15, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401956, subwayLine=YUS, stationId=LWW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=14.158186666666667, timeString=14.16, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401957, subwayLine=YUS, stationId=YKD2, trainId=5, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401958, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=5.48774074074074, timeString=05.49, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401959, subwayLine=YUS, stationId=YKD2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=15.178702222222224, timeString=15.18, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401960, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401961, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=2.0194533333333333, timeString=02.02, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401962, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=7.507194074074075, timeString=07.51, trainDestination=SHW2, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594401963, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:54:12 EDT 2017, systemMessageType=Normal]
