NTASData [id=16592926056, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=8.256149349845202, timeString=08.26, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926057, subwayLine=BD, stationId=DON1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=11.598385634674925, timeString=11.60, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926058, subwayLine=BD, stationId=GWD1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=0.15173944272445825, timeString=00.15, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926059, subwayLine=BD, stationId=GWD1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=4.444328916408669, timeString=04.44, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926060, subwayLine=BD, stationId=GWD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=9.385915913312695, timeString=09.39, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926061, subwayLine=BD, stationId=COX1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=1.1059865015479877, timeString=01.11, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926062, subwayLine=BD, stationId=COX1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=5.398575975232198, timeString=05.40, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926063, subwayLine=BD, stationId=COX1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=10.340162972136225, timeString=10.34, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926064, subwayLine=BD, stationId=WDB1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=2.5413551702786377, timeString=02.54, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926065, subwayLine=BD, stationId=WDB1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=6.833944643962848, timeString=06.83, trainDestination=KEN1, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
