NTASData [id=16593160227, subwayLine=YUS, stationId=UNI2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=7.987551111111111, timeString=07.99, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160228, subwayLine=YUS, stationId=UNI2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=16.011306666666666, timeString=16.01, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160229, subwayLine=YUS, stationId=STA2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=0.6321777777777777, timeString=00.63, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160230, subwayLine=YUS, stationId=STA2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.12544, timeString=02.13, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160231, subwayLine=YUS, stationId=STA2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=8.91424, timeString=08.91, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160232, subwayLine=YUS, stationId=OSG2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=1.3274444444444446, timeString=01.33, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160233, subwayLine=YUS, stationId=OSG2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.8207066666666667, timeString=02.82, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160234, subwayLine=YUS, stationId=OSG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=9.609506666666666, timeString=09.61, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160235, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160236, subwayLine=YUS, stationId=STP2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=2.0814133333333333, timeString=02.08, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160237, subwayLine=YUS, stationId=STP2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=3.574675555555556, timeString=03.57, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160238, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.1423066666666668, timeString=01.14, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160239, subwayLine=YUS, stationId=QPK2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=3.2237199999999997, timeString=03.22, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160240, subwayLine=YUS, stationId=QPK2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=4.716982222222223, timeString=04.72, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160241, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160242, subwayLine=YUS, stationId=MUS2, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.450596, timeString=00.45, trainDestination=MUS1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160243, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
