NTASData [id=16594891993, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.5006622222222222, timeString=00.50, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891994, subwayLine=YUS, stationId=SUM2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891995, subwayLine=YUS, stationId=SUM2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.767586666666668, timeString=11.77, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891996, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.5193555555555553, timeString=01.52, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891997, subwayLine=YUS, stationId=ROS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891998, subwayLine=YUS, stationId=ROS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.786280000000001, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594891999, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.8473644444444446, timeString=02.85, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594892000, subwayLine=YUS, stationId=BLO2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594892001, subwayLine=YUS, stationId=BLO2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=14.11428888888889, timeString=14.11, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594892002, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.8017111111111115, timeString=03.80, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594892003, subwayLine=YUS, stationId=WEL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 12:32:12 EDT 2017, systemMessageType=Normal]
