NTASData [id=16595079015, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=4.008604444444444, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079016, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=6.794879999999999, timeString=06.79, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079017, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.8962755555555555, timeString=01.90, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079018, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.15091111111111, timeString=05.15, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079019, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.9371866666666655, timeString=07.94, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079020, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.1588088888888888, timeString=03.16, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079021, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=6.413444444444444, timeString=06.41, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079022, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=9.19972, timeString=09.20, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079023, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.318331111111111, timeString=04.32, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079024, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.572966666666666, timeString=07.57, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079025, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.359242222222221, timeString=10.36, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079026, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.486037777777778, timeString=05.49, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079027, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.740673333333332, timeString=08.74, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079028, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.526948888888889, timeString=11.53, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079029, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.4838466666666665, timeString=06.48, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079030, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=9.73848222222222, timeString=09.74, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079031, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.52475777777778, timeString=12.52, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079032, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.108384444444443, timeString=09.11, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079033, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=12.363019999999999, timeString=12.36, trainDestination=SHW2, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
