NTASData [id=16593630532, subwayLine=BD, stationId=BSP1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=0.6791472445820435, timeString=00.68, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630533, subwayLine=BD, stationId=BSP1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=5.280338110216718, timeString=05.28, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630534, subwayLine=BD, stationId=BSP1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=8.343439162848297, timeString=08.34, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630535, subwayLine=BD, stationId=SGL1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=1.5897975232198145, timeString=01.59, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630536, subwayLine=BD, stationId=SGL1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=6.190988388854489, timeString=06.19, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630537, subwayLine=BD, stationId=SGL1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=9.254089441486068, timeString=09.25, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630538, subwayLine=BD, stationId=BAU1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=2.681487678018576, timeString=02.68, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630539, subwayLine=BD, stationId=BAU1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=7.282678543653251, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630540, subwayLine=BD, stationId=BAU1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=10.34577959628483, timeString=10.35, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630541, subwayLine=BD, stationId=YNG1, trainId=221, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630542, subwayLine=BD, stationId=YNG1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=3.4817305263157903, timeString=03.48, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630543, subwayLine=BD, stationId=YNG1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=8.082921391950464, timeString=08.08, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630544, subwayLine=BD, stationId=SHE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=1.319440866873065, timeString=01.32, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630545, subwayLine=BD, stationId=SHE1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=4.801171393188856, timeString=04.80, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630546, subwayLine=BD, stationId=SHE1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=9.40236225882353, timeString=09.40, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630547, subwayLine=BD, stationId=CFK1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=2.357484334365325, timeString=02.36, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630548, subwayLine=BD, stationId=CFK1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=5.839214860681116, timeString=05.84, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630549, subwayLine=BD, stationId=CFK1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=10.44040572631579, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630550, subwayLine=BD, stationId=BRD1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=3.931994674922601, timeString=03.93, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630551, subwayLine=BD, stationId=BRD1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=7.413725201238391, timeString=07.41, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630552, subwayLine=BD, stationId=BRD1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=12.014916066873065, timeString=12.01, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630553, subwayLine=BD, stationId=CHE1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=0.10814266253869971, timeString=00.11, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630554, subwayLine=BD, stationId=CHE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=4.970462786377709, timeString=04.97, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630555, subwayLine=BD, stationId=CHE1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=8.452193312693499, timeString=08.45, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630556, subwayLine=BD, stationId=PAP1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=1.0772522600619197, timeString=01.08, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630557, subwayLine=BD, stationId=PAP1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=5.939572383900929, timeString=05.94, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630558, subwayLine=BD, stationId=PAP1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=9.421302910216719, timeString=09.42, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630559, subwayLine=BD, stationId=DON1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=2.015929040247678, timeString=02.02, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630560, subwayLine=BD, stationId=DON1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=6.878249164086688, timeString=06.88, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630561, subwayLine=BD, stationId=DON1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=10.359979690402477, timeString=10.36, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630562, subwayLine=BD, stationId=GWD1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=3.14569560371517, timeString=03.15, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630563, subwayLine=BD, stationId=GWD1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.008015727554179, timeString=08.01, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630564, subwayLine=BD, stationId=GWD1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=11.489746253869969, timeString=11.49, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630565, subwayLine=BD, stationId=COX1, trainId=219, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630566, subwayLine=BD, stationId=COX1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=4.0999426625387, timeString=04.10, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630567, subwayLine=BD, stationId=COX1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.962262786377709, timeString=08.96, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630568, subwayLine=BD, stationId=WDB1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=1.4353686687306504, timeString=01.44, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630569, subwayLine=BD, stationId=WDB1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.53531133126935, timeString=05.54, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630570, subwayLine=BD, stationId=WDB1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=10.397631455108359, timeString=10.40, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593630571, subwayLine=BD, stationId=MST1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=3.160202972136223, timeString=03.16, trainDestination=KEN1, createDate=Sun Sep 17 10:56:32 EDT 2017, systemMessageType=Normal]
