NTASData [id=16594491995, subwayLine=YUS, stationId=YKM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.3257066666666666, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594491996, subwayLine=YUS, stationId=LAW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.838679999999999, timeString=06.84, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594491997, subwayLine=YUS, stationId=EGL2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594491998, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.121555555555554, timeString=11.12, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594491999, subwayLine=YUS, stationId=DAV2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492000, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.731222222222222, timeString=12.73, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492001, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492002, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=14.770431111111108, timeString=14.77, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492003, subwayLine=YUS, stationId=SUM2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.41599555555555556, timeString=00.42, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492004, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492005, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=16.174639999999997, timeString=16.17, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492006, subwayLine=YUS, stationId=ROS2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.4346888888888891, timeString=01.43, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492007, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492008, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=17.19333333333333, timeString=17.19, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492009, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.7626977777777775, timeString=02.76, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492010, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492011, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=18.52134222222222, timeString=18.52, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492012, subwayLine=YUS, stationId=WEL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.717044444444445, timeString=03.72, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492013, subwayLine=YUS, stationId=WEL2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492014, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=19.475688888888886, timeString=19.48, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492015, subwayLine=YUS, stationId=COL2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.6745111111111111, timeString=00.67, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492016, subwayLine=YUS, stationId=COL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.646555555555556, timeString=04.65, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492017, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=9.283644444444443, timeString=09.28, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492018, subwayLine=YUS, stationId=DUN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=1.541368888888889, timeString=01.54, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492019, subwayLine=YUS, stationId=DUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.513413333333334, timeString=05.51, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492020, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=10.15050222222222, timeString=10.15, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492021, subwayLine=YUS, stationId=QUN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.29816, timeString=02.30, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492022, subwayLine=YUS, stationId=QUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=6.270204444444445, timeString=06.27, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492023, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=10.907293333333334, timeString=10.91, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492024, subwayLine=YUS, stationId=KNG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=3.1238133333333336, timeString=03.12, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492025, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=7.095857777777779, timeString=07.10, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492026, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=11.732946666666665, timeString=11.73, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492027, subwayLine=YUS, stationId=UNI2, trainId=114, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492028, subwayLine=YUS, stationId=UNI2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=3.93084, timeString=03.93, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594492029, subwayLine=YUS, stationId=UNI2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=7.902884444444444, timeString=07.90, trainDestination=SHW2, createDate=Sun Sep 17 12:01:11 EDT 2017, systemMessageType=Normal]
