NTASData [id=16593347469, subwayLine=BD, stationId=JNE2, trainId=203, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347470, subwayLine=BD, stationId=JNE2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=5.895224099071209, timeString=05.90, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347471, subwayLine=BD, stationId=JNE2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=11.490250164705882, timeString=11.49, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347472, subwayLine=BD, stationId=OML2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=1.603669226006192, timeString=01.60, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347473, subwayLine=BD, stationId=OML2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=7.4988933250774, timeString=07.50, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347474, subwayLine=BD, stationId=OML2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=13.093919390712076, timeString=13.09, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347475, subwayLine=BD, stationId=RYK2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=4.020922313312694, timeString=04.02, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347476, subwayLine=BD, stationId=RYK2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=9.9161464123839, timeString=09.92, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347477, subwayLine=BD, stationId=RYK2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=15.511172478018576, timeString=15.51, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347478, subwayLine=BD, stationId=ISL2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=0.5834608049535605, timeString=00.58, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347479, subwayLine=BD, stationId=ISL2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=6.248416168421053, timeString=06.25, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347480, subwayLine=BD, stationId=ISL2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=12.14364026749226, timeString=12.14, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347481, subwayLine=BD, stationId=KIP2, trainId=222, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347482, subwayLine=BD, stationId=KIP2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=1.229768916408669, timeString=01.23, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347483, subwayLine=BD, stationId=KIP2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=2.9318592891640867, timeString=02.93, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347484, subwayLine=BD, stationId=KIP1, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=1.229768916408669, timeString=01.23, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347485, subwayLine=BD, stationId=KIP1, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=2.9318592891640867, timeString=02.93, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347486, subwayLine=BD, stationId=KIP1, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=8.59681465263158, timeString=08.60, trainDestination=KIP2, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347487, subwayLine=BD, stationId=RYK1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=0.9989154724458206, timeString=01.00, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347488, subwayLine=BD, stationId=OML1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=3.417901107120743, timeString=03.42, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347489, subwayLine=BD, stationId=JNE1, trainId=220, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347490, subwayLine=BD, stationId=JNE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=5.013643645820434, timeString=05.01, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347491, subwayLine=BD, stationId=RUN1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=1.1299364210526317, timeString=01.13, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347492, subwayLine=BD, stationId=RUN1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=6.143580066873065, timeString=06.14, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347493, subwayLine=BD, stationId=HPK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=2.3548232321981426, timeString=02.35, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347494, subwayLine=BD, stationId=HPK1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=7.368466878018577, timeString=07.37, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347495, subwayLine=BD, stationId=KEL1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=3.596978897832818, timeString=03.60, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16593347496, subwayLine=BD, stationId=KEL1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=8.610622543653252, timeString=08.61, trainDestination=KEN1, createDate=Sun Sep 17 10:35:17 EDT 2017, systemMessageType=Normal]
