NTASData [id=16593996586, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=0.2779814814814815, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996587, subwayLine=YUS, stationId=EGW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996588, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996589, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=0.2961111111111111, timeString=00.30, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996590, subwayLine=YUS, stationId=SCW1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=2.287648148148148, timeString=02.29, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996591, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.9774170370370365, timeString=04.98, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996592, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.920648888888889, timeString=02.92, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996593, subwayLine=YUS, stationId=DUP1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=4.912185925925926, timeString=04.91, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996594, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=7.601954814814815, timeString=07.60, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996595, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.9212800000000003, timeString=03.92, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16593996596, subwayLine=YUS, stationId=SPA1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=5.912817037037037, timeString=05.91, trainDestination=FIN1, createDate=Sun Sep 17 11:23:49 EDT 2017, systemMessageType=Normal]
