NTASData [id=16593677642, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677643, subwayLine=YUS, stationId=BLO1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=2.483862222222222, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677644, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=3.6836133333333336, timeString=03.68, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677645, subwayLine=YUS, stationId=ROS1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677646, subwayLine=YUS, stationId=ROS1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=3.8124355555555556, timeString=03.81, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677647, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=5.012186666666667, timeString=05.01, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677648, subwayLine=YUS, stationId=SUM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677649, subwayLine=YUS, stationId=SUM1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=4.841853333333333, timeString=04.84, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677650, subwayLine=YUS, stationId=SUM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.041604444444445, timeString=06.04, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677651, subwayLine=YUS, stationId=STC1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.7661511111111112, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677652, subwayLine=YUS, stationId=STC1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=6.250013333333333, timeString=06.25, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677653, subwayLine=YUS, stationId=STC1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=7.449764444444446, timeString=07.45, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677654, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=1.7774355555555557, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677655, subwayLine=YUS, stationId=DAV1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=5.798586666666667, timeString=05.80, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677656, subwayLine=YUS, stationId=DAV1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=8.28244888888889, timeString=08.28, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677657, subwayLine=YUS, stationId=EGL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.391617777777778, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677658, subwayLine=YUS, stationId=EGL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.412768888888889, timeString=07.41, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677659, subwayLine=YUS, stationId=EGL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=9.896631111111112, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677660, subwayLine=YUS, stationId=LAW1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677661, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=7.683524444444444, timeString=07.68, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677662, subwayLine=YUS, stationId=LAW1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=11.704675555555555, timeString=11.70, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677663, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677664, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.7021688888888888, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677665, subwayLine=YUS, stationId=YKM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.514666666666667, timeString=03.51, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677666, subwayLine=YUS, stationId=SHP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.586351111111111, timeString=03.59, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677667, subwayLine=YUS, stationId=SHP1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=4.28852, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677668, subwayLine=YUS, stationId=SHP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.101017777777777, timeString=07.10, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677669, subwayLine=YUS, stationId=NYC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.047568888888888, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677670, subwayLine=YUS, stationId=NYC1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=5.749737777777777, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677671, subwayLine=YUS, stationId=NYC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.562235555555556, timeString=08.56, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677672, subwayLine=YUS, stationId=FIN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.5288844444444445, timeString=00.53, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677673, subwayLine=YUS, stationId=FIN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677674, subwayLine=YUS, stationId=FIN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677675, subwayLine=YUS, stationId=FIN2, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.5288844444444445, timeString=00.53, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677676, subwayLine=YUS, stationId=FIN2, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677677, subwayLine=YUS, stationId=FIN2, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677678, subwayLine=YUS, stationId=NYC2, trainId=5, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677679, subwayLine=YUS, stationId=SHP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.4606533333333336, timeString=01.46, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677680, subwayLine=YUS, stationId=YKM2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=5.04136, timeString=05.04, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677681, subwayLine=YUS, stationId=LAW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.9857155555555555, timeString=01.99, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677682, subwayLine=YUS, stationId=LAW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.554333333333332, timeString=08.55, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677683, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677684, subwayLine=YUS, stationId=EGL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=6.268591111111111, timeString=06.27, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677685, subwayLine=YUS, stationId=EGL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=12.837208888888886, timeString=12.84, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677686, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677687, subwayLine=YUS, stationId=DAV2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=7.878257777777777, timeString=07.88, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16593677688, subwayLine=YUS, stationId=DAV2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=14.446875555555556, timeString=14.45, trainDestination=MUS2, createDate=Sun Sep 17 11:00:06 EDT 2017, systemMessageType=Normal]
