NTASData [id=16593673943, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673944, subwayLine=YUS, stationId=OSG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.890102222222222, timeString=10.89, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673945, subwayLine=YUS, stationId=STP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.1209244444444444, timeString=02.12, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673946, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673947, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.644071111111108, timeString=11.64, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673948, subwayLine=YUS, stationId=QPK2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.263231111111111, timeString=03.26, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673949, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673950, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.786377777777775, timeString=12.79, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673951, subwayLine=YUS, stationId=MUS2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673952, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673953, subwayLine=YUS, stationId=MUS2, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673954, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673955, subwayLine=YUS, stationId=MUS1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=MUS1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673956, subwayLine=YUS, stationId=MUS1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=1.7339855555555554, timeString=01.73, trainDestination=MUS1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673957, subwayLine=YUS, stationId=QUN1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.4069644444444444, timeString=00.41, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673958, subwayLine=YUS, stationId=DUN1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=1.1614977777777777, timeString=01.16, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673959, subwayLine=YUS, stationId=COL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=0.6118577777777778, timeString=00.61, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673960, subwayLine=YUS, stationId=COL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.0283555555555557, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673961, subwayLine=YUS, stationId=WEL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=1.5295155555555553, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673962, subwayLine=YUS, stationId=WEL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.9460133333333336, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673963, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.6993466666666667, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673964, subwayLine=YUS, stationId=BLO1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=2.483862222222222, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673965, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=3.90036, timeString=03.90, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673966, subwayLine=YUS, stationId=ROS1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.02792, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673967, subwayLine=YUS, stationId=ROS1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=3.8124355555555556, timeString=03.81, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673968, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=5.228933333333334, timeString=05.23, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673969, subwayLine=YUS, stationId=SUM1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.0573377777777777, timeString=03.06, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673970, subwayLine=YUS, stationId=SUM1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=4.841853333333333, timeString=04.84, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673971, subwayLine=YUS, stationId=SUM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.2583511111111125, timeString=06.26, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673972, subwayLine=YUS, stationId=STC1, trainId=111, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673973, subwayLine=YUS, stationId=STC1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=4.465497777777777, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673974, subwayLine=YUS, stationId=STC1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=6.250013333333333, timeString=06.25, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673975, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=2.0324355555555558, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673976, subwayLine=YUS, stationId=DAV1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=6.497933333333332, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673977, subwayLine=YUS, stationId=DAV1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=8.28244888888889, timeString=08.28, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673978, subwayLine=YUS, stationId=EGL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.646617777777778, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673979, subwayLine=YUS, stationId=EGL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=8.112115555555555, timeString=08.11, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673980, subwayLine=YUS, stationId=EGL1, trainId=4, trainMessage=Arriving, trainDirection=North, timeInt=9.896631111111112, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673981, subwayLine=YUS, stationId=LAW1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673982, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673983, subwayLine=YUS, stationId=LAW1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=12.404022222222222, timeString=12.40, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673984, subwayLine=YUS, stationId=YKM1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673985, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.7021688888888888, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673986, subwayLine=YUS, stationId=YKM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.514666666666667, timeString=03.51, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673987, subwayLine=YUS, stationId=SHP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.586351111111111, timeString=03.59, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673988, subwayLine=YUS, stationId=SHP1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=4.28852, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673989, subwayLine=YUS, stationId=SHP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.101017777777777, timeString=07.10, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673990, subwayLine=YUS, stationId=NYC1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673991, subwayLine=YUS, stationId=NYC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.047568888888888, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673992, subwayLine=YUS, stationId=NYC1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=5.749737777777777, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673993, subwayLine=YUS, stationId=FIN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.5288844444444445, timeString=00.53, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673994, subwayLine=YUS, stationId=FIN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673995, subwayLine=YUS, stationId=FIN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673996, subwayLine=YUS, stationId=FIN2, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.5288844444444445, timeString=00.53, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673997, subwayLine=YUS, stationId=FIN2, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.60704, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673998, subwayLine=YUS, stationId=FIN2, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.654608888888888, timeString=07.65, trainDestination=FIN1, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593673999, subwayLine=YUS, stationId=NYC2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=0.3556, timeString=00.36, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593674000, subwayLine=YUS, stationId=SHP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.8162533333333335, timeString=01.82, trainDestination=MUS2, createDate=Sun Sep 17 10:59:50 EDT 2017, systemMessageType=Normal]
