NTASData [id=16593135832, subwayLine=YUS, stationId=STA1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.2582333333333333, timeString=00.26, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135833, subwayLine=YUS, stationId=STA1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=2.343597777777778, timeString=02.34, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135834, subwayLine=YUS, stationId=UNI1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.1651666666666667, timeString=01.17, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135835, subwayLine=YUS, stationId=UNI1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=3.250531111111111, timeString=03.25, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135836, subwayLine=YUS, stationId=KNG1, trainId=104, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135837, subwayLine=YUS, stationId=KNG1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.960057777777778, timeString=01.96, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135838, subwayLine=YUS, stationId=KNG1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.045422222222222, timeString=04.05, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135839, subwayLine=YUS, stationId=QUN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135840, subwayLine=YUS, stationId=QUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.785711111111111, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135841, subwayLine=YUS, stationId=QUN1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.871075555555556, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135842, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135843, subwayLine=YUS, stationId=DUN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135844, subwayLine=YUS, stationId=DUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.5402444444444443, timeString=03.54, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135845, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135846, subwayLine=YUS, stationId=COL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135847, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.407102222222222, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135848, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135849, subwayLine=YUS, stationId=WEL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135850, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.3247599999999995, timeString=05.32, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135851, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.7388622222222225, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135852, subwayLine=YUS, stationId=BLO1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135853, subwayLine=YUS, stationId=BLO1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.2791066666666655, timeString=06.28, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135854, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.067435555555556, timeString=04.07, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135855, subwayLine=YUS, stationId=ROS1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135856, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.60768, timeString=07.61, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135857, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.096853333333334, timeString=05.10, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593135858, subwayLine=YUS, stationId=SUM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 10:20:18 EDT 2017, systemMessageType=Normal]
