NTASData [id=16594136827, subwayLine=YUS, stationId=DUN2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136828, subwayLine=YUS, stationId=DUN2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=4.8424177777777775, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136829, subwayLine=YUS, stationId=DUN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=7.136062222222224, timeString=07.14, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136830, subwayLine=YUS, stationId=QUN2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=0.7567911111111111, timeString=00.76, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136831, subwayLine=YUS, stationId=QUN2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=5.599208888888889, timeString=05.60, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136832, subwayLine=YUS, stationId=QUN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=7.892853333333333, timeString=07.89, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136833, subwayLine=YUS, stationId=KNG2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.5824444444444445, timeString=01.58, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136834, subwayLine=YUS, stationId=KNG2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=6.424862222222222, timeString=06.42, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136835, subwayLine=YUS, stationId=KNG2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=8.718506666666666, timeString=08.72, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136836, subwayLine=YUS, stationId=UNI2, trainId=107, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136837, subwayLine=YUS, stationId=UNI2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.3894711111111113, timeString=02.39, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136838, subwayLine=YUS, stationId=UNI2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=7.231888888888889, timeString=07.23, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136839, subwayLine=YUS, stationId=STA2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=0.9266888888888889, timeString=00.93, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136840, subwayLine=YUS, stationId=STA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.31616, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136841, subwayLine=YUS, stationId=STA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=8.158577777777777, timeString=08.16, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136842, subwayLine=YUS, stationId=OSG2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.6219555555555556, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136843, subwayLine=YUS, stationId=OSG2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.011426666666667, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136844, subwayLine=YUS, stationId=OSG2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=8.853844444444444, timeString=08.85, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136845, subwayLine=YUS, stationId=STP2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136846, subwayLine=YUS, stationId=STP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.765395555555555, timeString=04.77, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136847, subwayLine=YUS, stationId=STP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=9.607813333333334, timeString=09.61, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136848, subwayLine=YUS, stationId=QPK2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136849, subwayLine=YUS, stationId=QPK2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=5.9077022222222215, timeString=05.91, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136850, subwayLine=YUS, stationId=QPK2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=10.750119999999999, timeString=10.75, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16594136851, subwayLine=YUS, stationId=MUS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=4.780764444444444, timeString=04.78, trainDestination=SHW2, createDate=Sun Sep 17 11:34:08 EDT 2017, systemMessageType=Normal]
