NTASData [id=16593950295, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=0.5926666666666667, timeString=00.59, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950296, subwayLine=YUS, stationId=YKD1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.852371022222222, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950297, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.415556207407407, timeString=04.42, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950298, subwayLine=YUS, stationId=LWW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950299, subwayLine=YUS, stationId=LWW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=2.6109911111111113, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950300, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.870695466666667, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950301, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950302, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=2.3739703703703707, timeString=02.37, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950303, subwayLine=YUS, stationId=GCN1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=3.96948, timeString=03.97, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950304, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950305, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=1.8202044444444447, timeString=01.82, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950306, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950307, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.699435555555556, timeString=04.70, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950308, subwayLine=YUS, stationId=SCW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=6.519639999999999, timeString=06.52, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950309, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=8.893610370370371, timeString=08.89, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950310, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.323973333333333, timeString=07.32, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950311, subwayLine=YUS, stationId=DUP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=9.144177777777777, timeString=09.14, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950312, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.518148148148146, timeString=11.52, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950313, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=8.324604444444445, timeString=08.32, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950314, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=10.144808888888887, timeString=10.14, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593950315, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=12.518779259259258, timeString=12.52, trainDestination=FIN1, createDate=Sun Sep 17 11:20:29 EDT 2017, systemMessageType=Normal]
