NTASData [id=16594357869, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357870, subwayLine=YUS, stationId=LAW1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357871, subwayLine=YUS, stationId=LAW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357872, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.514666666666667, timeString=03.51, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357873, subwayLine=YUS, stationId=YKM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357874, subwayLine=YUS, stationId=YKM1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=11.453191111111112, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357875, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.101017777777777, timeString=07.10, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357876, subwayLine=YUS, stationId=SHP1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357877, subwayLine=YUS, stationId=SHP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=15.039542222222224, timeString=15.04, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357878, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.562235555555556, timeString=08.56, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357879, subwayLine=YUS, stationId=NYC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357880, subwayLine=YUS, stationId=NYC1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.500760000000003, timeString=16.50, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357881, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357882, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.169275555555554, timeString=11.17, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357883, subwayLine=YUS, stationId=FIN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357884, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.169275555555554, timeString=11.17, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357885, subwayLine=YUS, stationId=FIN2, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357886, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.107800000000005, timeString=19.11, trainDestination=FIN1, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357887, subwayLine=YUS, stationId=YKM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.3257066666666666, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357888, subwayLine=YUS, stationId=LAW2, trainId=117, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357889, subwayLine=YUS, stationId=LAW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=6.838679999999999, timeString=06.84, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357890, subwayLine=YUS, stationId=EGL2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357891, subwayLine=YUS, stationId=EGL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.282875555555555, timeString=04.28, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357892, subwayLine=YUS, stationId=EGL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=11.121555555555554, timeString=11.12, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357893, subwayLine=YUS, stationId=DAV2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357894, subwayLine=YUS, stationId=DAV2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.892542222222222, timeString=05.89, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357895, subwayLine=YUS, stationId=DAV2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=12.731222222222222, timeString=12.73, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357896, subwayLine=YUS, stationId=STC2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357897, subwayLine=YUS, stationId=STC2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=7.931751111111111, timeString=07.93, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357898, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=14.770431111111108, timeString=14.77, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357899, subwayLine=YUS, stationId=SUM2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357900, subwayLine=YUS, stationId=SUM2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=9.33596, timeString=09.34, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357901, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=16.174639999999997, timeString=16.17, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357902, subwayLine=YUS, stationId=ROS2, trainId=114, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357903, subwayLine=YUS, stationId=ROS2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357904, subwayLine=YUS, stationId=ROS2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=10.354653333333335, timeString=10.35, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357905, subwayLine=YUS, stationId=BLO2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=1.3280088888888888, timeString=01.33, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357906, subwayLine=YUS, stationId=BLO2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357907, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=11.682662222222222, timeString=11.68, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357908, subwayLine=YUS, stationId=WEL2, trainId=112, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357909, subwayLine=YUS, stationId=WEL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=2.2823555555555552, timeString=02.28, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16594357910, subwayLine=YUS, stationId=WEL2, trainId=115, trainMessage=Delayed, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 11:50:34 EDT 2017, systemMessageType=Normal]
