NTASData [id=16593622203, subwayLine=SHEP, stationId=BYV1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=3.74496644295302, timeString=03.74, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622204, subwayLine=SHEP, stationId=BSS1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=5.532181208053691, timeString=05.53, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622205, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622206, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=7.120067114093959, timeString=07.12, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622207, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622208, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622209, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=10.624731543624161, timeString=10.62, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622210, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.504664429530201, timeString=03.50, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622211, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=10.624731543624161, timeString=10.62, trainDestination=DML1, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622212, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622213, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.791241610738255, timeString=01.79, trainDestination=YIE2, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622214, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=5.932147651006711, timeString=05.93, trainDestination=YIE2, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
NTASData [id=16593622215, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=5.932147651006711, timeString=05.93, trainDestination=YIE2, createDate=Sun Sep 17 10:55:54 EDT 2017, systemMessageType=Normal]
