NTASData [id=16594067081, subwayLine=YUS, stationId=SPA1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067082, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.075945925925926, timeString=03.08, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067083, subwayLine=YUS, stationId=SPA1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.271613333333334, timeString=05.27, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067084, subwayLine=YUS, stationId=SGU1, trainId=193, trainMessage=Arriving, trainDirection=North, timeInt=0.8746066666666666, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067085, subwayLine=YUS, stationId=SGU1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067086, subwayLine=YUS, stationId=SGU1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.205552592592593, timeString=04.21, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067087, subwayLine=YUS, stationId=MUS1, trainId=193, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067088, subwayLine=YUS, stationId=MUS1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=3.3322344444444445, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067089, subwayLine=YUS, stationId=MUS1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=5.407549259259259, timeString=05.41, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067090, subwayLine=YUS, stationId=QPK1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=0.8111066666666666, timeString=00.81, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067091, subwayLine=YUS, stationId=QPK1, trainId=193, trainMessage=Arriving, trainDirection=North, timeInt=3.3391366666666666, timeString=03.34, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067092, subwayLine=YUS, stationId=QPK1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=4.594767777777777, timeString=04.59, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067093, subwayLine=YUS, stationId=STP1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=1.9618799999999998, timeString=01.96, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594067094, subwayLine=YUS, stationId=STP1, trainId=193, trainMessage=Arriving, trainDirection=North, timeInt=4.48991, timeString=04.49, trainDestination=FIN1, createDate=Sun Sep 17 11:29:00 EDT 2017, systemMessageType=Normal]
