NTASData [id=16592996982, subwayLine=BD, stationId=LAN1, trainId=214, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996983, subwayLine=BD, stationId=LAN1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=4.838540061919506, timeString=04.84, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996984, subwayLine=BD, stationId=LAN1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=11.138326826006193, timeString=11.14, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996985, subwayLine=BD, stationId=DUF1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=0.8795097213622292, timeString=00.88, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996986, subwayLine=BD, stationId=DUF1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=5.718049783281735, timeString=05.72, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996987, subwayLine=BD, stationId=DUF1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=12.017836547368422, timeString=12.02, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996988, subwayLine=BD, stationId=OSS1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=2.1293089783281736, timeString=02.13, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996989, subwayLine=BD, stationId=OSS1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=6.967849040247678, timeString=06.97, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996990, subwayLine=BD, stationId=OSS1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=13.267635804334367, timeString=13.27, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996991, subwayLine=BD, stationId=CHR1, trainId=213, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996992, subwayLine=BD, stationId=CHR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=3.3627849213622296, timeString=03.36, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996993, subwayLine=BD, stationId=CHR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=8.201324983281735, timeString=08.20, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996994, subwayLine=BD, stationId=BAT1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=0.983405944272446, timeString=00.98, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996995, subwayLine=BD, stationId=BAT1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=4.346190865634675, timeString=04.35, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996996, subwayLine=BD, stationId=BAT1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=9.18473092755418, timeString=09.18, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996997, subwayLine=BD, stationId=BSP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=1.9175531888544894, timeString=01.92, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996998, subwayLine=BD, stationId=BSP1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.280338110216718, timeString=05.28, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592996999, subwayLine=BD, stationId=BSP1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.118878172136224, timeString=10.12, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997000, subwayLine=BD, stationId=SGL1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=2.8282034674922603, timeString=02.83, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997001, subwayLine=BD, stationId=SGL1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=6.190988388854489, timeString=06.19, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997002, subwayLine=BD, stationId=SGL1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=11.029528450773993, timeString=11.03, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997003, subwayLine=BD, stationId=BAU1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.5776573374613003, timeString=00.58, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997004, subwayLine=BD, stationId=BAU1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=3.9198936222910223, timeString=03.92, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997005, subwayLine=BD, stationId=BAU1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.282678543653251, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997006, subwayLine=BD, stationId=YNG1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=1.3779001857585143, timeString=01.38, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997007, subwayLine=BD, stationId=YNG1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.720136470588236, timeString=04.72, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997008, subwayLine=BD, stationId=YNG1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=8.082921391950464, timeString=08.08, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997009, subwayLine=BD, stationId=SHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.697341052631579, timeString=02.70, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997010, subwayLine=BD, stationId=SHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.039577337461301, timeString=06.04, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997011, subwayLine=BD, stationId=SHE1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=9.40236225882353, timeString=09.40, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997012, subwayLine=BD, stationId=CFK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=3.7353845201238394, timeString=03.74, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997013, subwayLine=BD, stationId=CFK1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=7.077620804953561, timeString=07.08, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997014, subwayLine=BD, stationId=CFK1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=10.44040572631579, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997015, subwayLine=BD, stationId=BRD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.3195103405572757, timeString=01.32, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997016, subwayLine=BD, stationId=BRD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.309894860681116, timeString=05.31, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997017, subwayLine=BD, stationId=BRD1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=8.652131145510836, timeString=08.65, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997018, subwayLine=BD, stationId=CHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.357978452012384, timeString=02.36, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997019, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=6.348362972136224, timeString=06.35, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997020, subwayLine=BD, stationId=CHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=9.690599256965944, timeString=09.69, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997021, subwayLine=BD, stationId=PAP1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=3.327088049535604, timeString=03.33, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997022, subwayLine=BD, stationId=PAP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.317472569659444, timeString=07.32, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997023, subwayLine=BD, stationId=PAP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.659708854489164, timeString=10.66, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997024, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=4.265764829721363, timeString=04.27, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997025, subwayLine=BD, stationId=DON1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=8.256149349845202, timeString=08.26, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997026, subwayLine=BD, stationId=DON1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=11.598385634674925, timeString=11.60, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997027, subwayLine=BD, stationId=GWD1, trainId=210, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997028, subwayLine=BD, stationId=GWD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=5.395531393188856, timeString=05.40, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997029, subwayLine=BD, stationId=GWD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=9.385915913312695, timeString=09.39, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997030, subwayLine=BD, stationId=COX1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=0.9542470588235296, timeString=00.95, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997031, subwayLine=BD, stationId=COX1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.349778452012384, timeString=06.35, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997032, subwayLine=BD, stationId=COX1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=10.340162972136225, timeString=10.34, trainDestination=KEN1, createDate=Sun Sep 17 10:11:03 EDT 2017, systemMessageType=Normal]
