NTASData [id=16594201888, subwayLine=BD, stationId=DUF1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=0.6245097213622292, timeString=00.62, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201889, subwayLine=BD, stationId=DUF1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=5.463049783281734, timeString=05.46, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201890, subwayLine=BD, stationId=DUF1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=11.486182305882354, timeString=11.49, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201891, subwayLine=BD, stationId=OSS1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=1.8743089783281737, timeString=01.87, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201892, subwayLine=BD, stationId=OSS1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.712849040247679, timeString=06.71, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201893, subwayLine=BD, stationId=OSS1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=12.735981562848298, timeString=12.74, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201894, subwayLine=BD, stationId=CHR1, trainId=209, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201895, subwayLine=BD, stationId=CHR1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=3.1077849213622297, timeString=03.11, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201896, subwayLine=BD, stationId=CHR1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=7.946324983281734, timeString=07.95, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201897, subwayLine=BD, stationId=BAT1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=0.983405944272446, timeString=00.98, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594201898, subwayLine=BD, stationId=BAT1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=4.091190865634675, timeString=04.09, trainDestination=KEN1, createDate=Sun Sep 17 11:39:01 EDT 2017, systemMessageType=Normal]
