NTASData [id=16593201281, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.19191111111111112, timeString=00.19, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201282, subwayLine=YUS, stationId=ROS1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=2.02792, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201283, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.012186666666667, timeString=05.01, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201284, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.221328888888889, timeString=01.22, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201285, subwayLine=YUS, stationId=SUM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=3.0573377777777777, timeString=03.06, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201286, subwayLine=YUS, stationId=SUM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.041604444444445, timeString=06.04, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201287, subwayLine=YUS, stationId=STC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.629488888888889, timeString=02.63, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201288, subwayLine=YUS, stationId=STC1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.465497777777777, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201289, subwayLine=YUS, stationId=STC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.449764444444446, timeString=07.45, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201290, subwayLine=YUS, stationId=DAV1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.661924444444444, timeString=04.66, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593201291, subwayLine=YUS, stationId=DAV1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=6.497933333333332, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 10:24:45 EDT 2017, systemMessageType=Normal]
