NTASData [id=16594496137, subwayLine=YUS, stationId=SGU1, trainId=13, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496138, subwayLine=YUS, stationId=SGU1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496139, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496140, subwayLine=YUS, stationId=MUS1, trainId=13, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496141, subwayLine=YUS, stationId=MUS1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=3.3322344444444445, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496142, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.744698148148149, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496143, subwayLine=YUS, stationId=QPK1, trainId=13, trainMessage=Arriving, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496144, subwayLine=YUS, stationId=QPK1, trainId=192, trainMessage=Delayed, trainDirection=North, timeInt=4.594767777777777, timeString=04.59, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496145, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.007231481481481, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496146, subwayLine=YUS, stationId=STP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.8957733333333333, timeString=00.90, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16594496147, subwayLine=YUS, stationId=STP1, trainId=13, trainMessage=Arriving, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:01:30 EDT 2017, systemMessageType=Normal]
