NTASData [id=16593510394, subwayLine=YUS, stationId=ROS1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=6.611846666666667, timeString=06.61, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510395, subwayLine=YUS, stationId=SUM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.0294177777777778, timeString=01.03, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510396, subwayLine=YUS, stationId=SUM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.312337777777778, timeString=03.31, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510397, subwayLine=YUS, stationId=SUM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=7.6412644444444435, timeString=07.64, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510398, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.437577777777778, timeString=02.44, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510399, subwayLine=YUS, stationId=STC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.720497777777778, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510400, subwayLine=YUS, stationId=STC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=9.049424444444444, timeString=09.05, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510401, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.470013333333333, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510402, subwayLine=YUS, stationId=DAV1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.752933333333333, timeString=06.75, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510403, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=11.081859999999999, timeString=11.08, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510404, subwayLine=YUS, stationId=EGL1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510405, subwayLine=YUS, stationId=EGL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=6.0841955555555565, timeString=06.08, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510406, subwayLine=YUS, stationId=EGL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.367115555555555, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510407, subwayLine=YUS, stationId=LAW1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510408, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.3416844444444445, timeString=01.34, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510409, subwayLine=YUS, stationId=LAW1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510410, subwayLine=YUS, stationId=YKM1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.514666666666667, timeString=03.51, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510411, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=4.8563511111111115, timeString=04.86, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510412, subwayLine=YUS, stationId=YKM1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510413, subwayLine=YUS, stationId=SHP1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=3.331351111111111, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510414, subwayLine=YUS, stationId=SHP1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=7.101017777777777, timeString=07.10, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510415, subwayLine=YUS, stationId=SHP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=8.442702222222223, timeString=08.44, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510416, subwayLine=YUS, stationId=NYC1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.792568888888888, timeString=04.79, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510417, subwayLine=YUS, stationId=NYC1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=8.562235555555556, timeString=08.56, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593510418, subwayLine=YUS, stationId=NYC1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.903920000000001, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 10:47:37 EDT 2017, systemMessageType=Normal]
