NTASData [id=16593931795, subwayLine=YUS, stationId=GCN1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931796, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=1.3603518518518518, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931797, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.6646800000000006, timeString=03.66, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931798, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.8202044444444447, timeString=01.82, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931799, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=3.1805562962962965, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931800, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=5.484884444444444, timeString=05.48, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931801, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.519639999999999, timeString=06.52, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931802, subwayLine=YUS, stationId=SCW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=7.879991851851852, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931803, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=10.18432, timeString=10.18, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931804, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=9.144177777777777, timeString=09.14, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931805, subwayLine=YUS, stationId=DUP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=10.50452962962963, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931806, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=12.808857777777778, timeString=12.81, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931807, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.144808888888887, timeString=10.14, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931808, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=11.50516074074074, timeString=11.51, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593931809, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=13.809488888888888, timeString=13.81, trainDestination=FIN1, createDate=Sun Sep 17 11:19:09 EDT 2017, systemMessageType=Normal]
