NTASData [id=16592909792, subwayLine=BD, stationId=DON1, trainId=209, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909793, subwayLine=BD, stationId=DON1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=4.520764829721363, timeString=04.52, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909794, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=8.770182167182663, timeString=08.77, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909795, subwayLine=BD, stationId=GWD1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=1.1297665634674923, timeString=01.13, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909796, subwayLine=BD, stationId=GWD1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=5.650531393188855, timeString=05.65, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909797, subwayLine=BD, stationId=GWD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=9.899948730650156, timeString=09.90, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909798, subwayLine=BD, stationId=COX1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=2.084013622291022, timeString=02.08, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909799, subwayLine=BD, stationId=COX1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=6.6047784520123844, timeString=06.60, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909800, subwayLine=BD, stationId=COX1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=10.854195789473685, timeString=10.85, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909801, subwayLine=BD, stationId=WDB1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=3.5193822910216723, timeString=03.52, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909802, subwayLine=BD, stationId=WDB1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=8.040147120743034, timeString=08.04, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909803, subwayLine=BD, stationId=WDB1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=12.289564458204335, timeString=12.29, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909804, subwayLine=BD, stationId=MST1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=0.515800866873065, timeString=00.52, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909805, subwayLine=BD, stationId=MST1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=5.244216594427245, timeString=05.24, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909806, subwayLine=BD, stationId=MST1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=9.764981424148607, timeString=09.76, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16592909807, subwayLine=BD, stationId=VPK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=2.6913239628482972, timeString=02.69, trainDestination=KEN1, createDate=Sun Sep 17 10:05:02 EDT 2017, systemMessageType=Normal]
