NTASData [id=16593882823, subwayLine=YUS, stationId=SCW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=2.0205185185185184, timeString=02.02, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882824, subwayLine=YUS, stationId=SCW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.526371111111112, timeString=05.53, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882825, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.354415555555555, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882826, subwayLine=YUS, stationId=EGW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.6512592592592592, timeString=01.65, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882827, subwayLine=YUS, stationId=EGW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=6.83368962962963, timeString=06.83, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882828, subwayLine=YUS, stationId=EGW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.339542222222223, timeString=10.34, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882829, subwayLine=YUS, stationId=GCN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.470899259259259, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882830, subwayLine=YUS, stationId=GCN2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=8.65332962962963, timeString=08.65, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882831, subwayLine=YUS, stationId=GCN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.159182222222224, timeString=12.16, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882832, subwayLine=YUS, stationId=LWW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.8902962962962963, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882833, subwayLine=YUS, stationId=LWW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.835032592592593, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882834, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=10.017462962962963, timeString=10.02, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16593882835, subwayLine=YUS, stationId=YKD2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.916522962962963, timeString=02.92, trainDestination=SHW2, createDate=Sun Sep 17 11:15:35 EDT 2017, systemMessageType=Normal]
