NTASData [id=16593263946, subwayLine=YUS, stationId=UNI1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263947, subwayLine=YUS, stationId=UNI1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.979033333333333, timeString=02.98, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263948, subwayLine=YUS, stationId=KNG1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.7948911111111111, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263949, subwayLine=YUS, stationId=KNG1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=3.7739244444444444, timeString=03.77, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263950, subwayLine=YUS, stationId=QUN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.6205444444444443, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263951, subwayLine=YUS, stationId=QUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.599577777777778, timeString=04.60, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263952, subwayLine=YUS, stationId=DUN1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=0.49953333333333333, timeString=00.50, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263953, subwayLine=YUS, stationId=DUN1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.375077777777778, timeString=02.38, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263954, subwayLine=YUS, stationId=DUN1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=5.354111111111111, timeString=05.35, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263955, subwayLine=YUS, stationId=COL1, trainId=5, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263956, subwayLine=YUS, stationId=COL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.3663911111111111, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263957, subwayLine=YUS, stationId=COL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.2419355555555556, timeString=03.24, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263958, subwayLine=YUS, stationId=WEL1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=0.9176577777777778, timeString=00.92, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263959, subwayLine=YUS, stationId=WEL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.284048888888889, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263960, subwayLine=YUS, stationId=WEL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=4.1595933333333335, timeString=04.16, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263961, subwayLine=YUS, stationId=BLO1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.6993466666666667, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263962, subwayLine=YUS, stationId=BLO1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.8720044444444444, timeString=01.87, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263963, subwayLine=YUS, stationId=BLO1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.238395555555556, timeString=03.24, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263964, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.02792, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263965, subwayLine=YUS, stationId=ROS1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=3.2005777777777777, timeString=03.20, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263966, subwayLine=YUS, stationId=ROS1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=4.566968888888889, timeString=04.57, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263967, subwayLine=YUS, stationId=SUM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.0573377777777777, timeString=03.06, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263968, subwayLine=YUS, stationId=SUM1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.229995555555556, timeString=04.23, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263969, subwayLine=YUS, stationId=SUM1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=5.5963866666666675, timeString=05.60, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263970, subwayLine=YUS, stationId=STC1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.7518400000000001, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263971, subwayLine=YUS, stationId=STC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.465497777777777, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263972, subwayLine=YUS, stationId=STC1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=5.6381555555555565, timeString=05.64, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263973, subwayLine=YUS, stationId=DAV1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.41994666666666663, timeString=00.42, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263974, subwayLine=YUS, stationId=DAV1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=2.7842755555555554, timeString=02.78, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263975, subwayLine=YUS, stationId=DAV1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.497933333333332, timeString=06.50, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263976, subwayLine=YUS, stationId=EGL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.034128888888889, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263977, subwayLine=YUS, stationId=EGL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.398457777777778, timeString=04.40, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263978, subwayLine=YUS, stationId=EGL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=8.112115555555555, timeString=08.11, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263979, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.326035555555555, timeString=06.33, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263980, subwayLine=YUS, stationId=LAW1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=8.690364444444445, timeString=08.69, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263981, subwayLine=YUS, stationId=LAW1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=12.404022222222222, timeString=12.40, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263982, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=9.840702222222223, timeString=09.84, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263983, subwayLine=YUS, stationId=YKM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=12.205031111111111, timeString=12.21, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263984, subwayLine=YUS, stationId=YKM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=15.91868888888889, timeString=15.92, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263985, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.162017777777778, timeString=03.16, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263986, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=13.427053333333333, timeString=13.43, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263987, subwayLine=YUS, stationId=SHP1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=15.791382222222223, timeString=15.79, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263988, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=4.6232355555555555, timeString=04.62, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263989, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=14.888271111111111, timeString=14.89, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263990, subwayLine=YUS, stationId=NYC1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=17.252600000000005, timeString=17.25, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263991, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=0.33697333333333335, timeString=00.34, trainDestination=FIN2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263992, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.230275555555555, timeString=07.23, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263993, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.49531111111111, timeString=17.50, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263994, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=0.33697333333333335, timeString=00.34, trainDestination=FIN2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263995, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.230275555555555, timeString=07.23, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263996, subwayLine=YUS, stationId=FIN2, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.49531111111111, timeString=17.50, trainDestination=FIN1, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263997, subwayLine=YUS, stationId=YKM2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.9915555555555557, timeString=02.99, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263998, subwayLine=YUS, stationId=LAW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=6.504528888888889, timeString=06.50, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593263999, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264000, subwayLine=YUS, stationId=EGL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=10.787404444444444, timeString=10.79, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264001, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264002, subwayLine=YUS, stationId=DAV2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=12.397071111111112, timeString=12.40, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264003, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264004, subwayLine=YUS, stationId=STC2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=14.436279999999998, timeString=14.44, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264005, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593264006, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=MUS2, createDate=Sun Sep 17 10:29:03 EDT 2017, systemMessageType=Normal]
