NTASData [id=16595076882, subwayLine=SHEP, stationId=LES2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.9167785234899328, timeString=01.92, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076883, subwayLine=SHEP, stationId=BSS2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=3.512718120805369, timeString=03.51, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076884, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076885, subwayLine=SHEP, stationId=BYV2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=5.303959731543624, timeString=05.30, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076886, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076887, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=9.444865771812081, timeString=09.44, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076888, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.140906040268456, timeString=04.14, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076889, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=9.444865771812081, timeString=09.44, trainDestination=YIE2, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076890, subwayLine=SHEP, stationId=BYV1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=1.278523489932886, timeString=01.28, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076891, subwayLine=SHEP, stationId=BSS1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=3.065738255033557, timeString=03.07, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076892, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=4.653624161073825, timeString=04.65, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076893, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076894, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=8.158288590604027, timeString=08.16, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076895, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=0.8456375838926175, timeString=00.85, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076896, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=8.158288590604027, timeString=08.16, trainDestination=DML1, createDate=Sun Sep 17 12:47:05 EDT 2017, systemMessageType=Normal]
