NTASData [id=16593708777, subwayLine=SHEP, stationId=BYV1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=3.43489932885906, timeString=03.43, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708778, subwayLine=SHEP, stationId=BSS1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=5.222114093959731, timeString=05.22, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708779, subwayLine=SHEP, stationId=LES1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=6.81, timeString=06.81, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708780, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=1.5483221476510067, timeString=01.55, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708781, subwayLine=SHEP, stationId=DML1, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708782, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=1.5483221476510067, timeString=01.55, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708783, subwayLine=SHEP, stationId=DML2, trainId=463, trainMessage=Arriving, trainDirection=East, timeInt=10.314664429530202, timeString=10.31, trainDestination=DML1, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708784, subwayLine=SHEP, stationId=LES2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=1.4939597315436242, timeString=01.49, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708785, subwayLine=SHEP, stationId=BSS2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=3.0898993288590604, timeString=03.09, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708786, subwayLine=SHEP, stationId=BYV2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=4.881140939597315, timeString=04.88, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708787, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.7778523489932885, timeString=01.78, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708788, subwayLine=SHEP, stationId=YIE2, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.022046979865772, timeString=09.02, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708789, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.7778523489932885, timeString=01.78, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593708790, subwayLine=SHEP, stationId=YIE1, trainId=461, trainMessage=Arriving, trainDirection=West, timeInt=9.022046979865772, timeString=09.02, trainDestination=YIE2, createDate=Sun Sep 17 11:02:59 EDT 2017, systemMessageType=Normal]
