NTASData [id=16594930225, subwayLine=YUS, stationId=DUN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.540835555555555, timeString=08.54, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930226, subwayLine=YUS, stationId=DUN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=13.215435555555555, timeString=13.22, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930227, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930228, subwayLine=YUS, stationId=QUN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=9.297626666666666, timeString=09.30, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930229, subwayLine=YUS, stationId=QUN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=13.972226666666668, timeString=13.97, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930230, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930231, subwayLine=YUS, stationId=KNG2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.12328, timeString=10.12, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930232, subwayLine=YUS, stationId=KNG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=14.79788, timeString=14.80, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930233, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930234, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
