NTASData [id=16594259120, subwayLine=YUS, stationId=LAW1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=7.938524444444444, timeString=07.94, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259121, subwayLine=YUS, stationId=LAW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.57668, timeString=13.58, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259122, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259123, subwayLine=YUS, stationId=YKM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=11.453191111111112, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259124, subwayLine=YUS, stationId=YKM1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.091346666666666, timeString=17.09, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259125, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.5683955555555555, timeString=00.57, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259126, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259127, subwayLine=YUS, stationId=SHP1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=15.039542222222224, timeString=15.04, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259128, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.0296133333333337, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259129, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259130, subwayLine=YUS, stationId=NYC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=16.500760000000003, timeString=16.50, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259131, subwayLine=YUS, stationId=FIN1, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.2765777777777778, timeString=00.28, trainDestination=FIN2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259132, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.636653333333333, timeString=04.64, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259133, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259134, subwayLine=YUS, stationId=FIN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.2765777777777778, timeString=00.28, trainDestination=FIN2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259135, subwayLine=YUS, stationId=FIN2, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.636653333333333, timeString=04.64, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259136, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259137, subwayLine=YUS, stationId=NYC2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.3556, timeString=00.36, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259138, subwayLine=YUS, stationId=SHP2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.8162533333333335, timeString=01.82, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259139, subwayLine=YUS, stationId=YKM2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.39696, timeString=05.40, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259140, subwayLine=YUS, stationId=LAW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.8786666666666667, timeString=02.88, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259141, subwayLine=YUS, stationId=LAW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=8.909933333333335, timeString=08.91, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259142, subwayLine=YUS, stationId=EGL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259143, subwayLine=YUS, stationId=EGL2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=7.161542222222222, timeString=07.16, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259144, subwayLine=YUS, stationId=EGL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=13.192808888888887, timeString=13.19, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259145, subwayLine=YUS, stationId=DAV2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259146, subwayLine=YUS, stationId=DAV2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259147, subwayLine=YUS, stationId=DAV2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=14.802475555555556, timeString=14.80, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259148, subwayLine=YUS, stationId=STC2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=0.3770488888888889, timeString=00.38, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259149, subwayLine=YUS, stationId=STC2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259150, subwayLine=YUS, stationId=STC2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259151, subwayLine=YUS, stationId=SUM2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.7812577777777778, timeString=01.78, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259152, subwayLine=YUS, stationId=SUM2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=7.463262222222222, timeString=07.46, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259153, subwayLine=YUS, stationId=SUM2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259154, subwayLine=YUS, stationId=ROS2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=0.7636933333333333, timeString=00.76, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259155, subwayLine=YUS, stationId=ROS2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.7999511111111115, timeString=02.80, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259156, subwayLine=YUS, stationId=ROS2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=8.481955555555556, timeString=08.48, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259157, subwayLine=YUS, stationId=BLO2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=2.091702222222222, timeString=02.09, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259158, subwayLine=YUS, stationId=BLO2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=4.12796, timeString=04.13, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259159, subwayLine=YUS, stationId=BLO2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=9.809964444444445, timeString=09.81, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259160, subwayLine=YUS, stationId=WEL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.0460488888888886, timeString=03.05, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259161, subwayLine=YUS, stationId=WEL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=5.082306666666668, timeString=05.08, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259162, subwayLine=YUS, stationId=WEL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=10.76431111111111, timeString=10.76, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259163, subwayLine=YUS, stationId=COL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.97556, timeString=03.98, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259164, subwayLine=YUS, stationId=COL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=6.011817777777779, timeString=06.01, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259165, subwayLine=YUS, stationId=COL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=11.69382222222222, timeString=11.69, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259166, subwayLine=YUS, stationId=DUN2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=4.8424177777777775, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259167, subwayLine=YUS, stationId=DUN2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=6.8786755555555565, timeString=06.88, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259168, subwayLine=YUS, stationId=DUN2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=12.56068, timeString=12.56, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259169, subwayLine=YUS, stationId=QUN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=0.5017911111111111, timeString=00.50, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259170, subwayLine=YUS, stationId=QUN2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.599208888888889, timeString=05.60, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259171, subwayLine=YUS, stationId=QUN2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=7.635466666666668, timeString=07.64, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
NTASData [id=16594259172, subwayLine=YUS, stationId=KNG2, trainId=109, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:43:14 EDT 2017, systemMessageType=Normal]
