NTASData [id=16593012610, subwayLine=BD, stationId=BAU1, trainId=212, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012611, subwayLine=BD, stationId=BAU1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=3.6648936222910224, timeString=03.66, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012612, subwayLine=BD, stationId=BAU1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.02767854365325, timeString=07.03, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012613, subwayLine=BD, stationId=YNG1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.8002428482972137, timeString=00.80, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012614, subwayLine=BD, stationId=YNG1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.465136470588236, timeString=04.47, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012615, subwayLine=BD, stationId=YNG1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.827921391950465, timeString=07.83, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012616, subwayLine=BD, stationId=SHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.1196837151702788, timeString=02.12, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012617, subwayLine=BD, stationId=SHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=5.7845773374613, timeString=05.78, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012618, subwayLine=BD, stationId=SHE1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=9.147362258823529, timeString=09.15, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012619, subwayLine=BD, stationId=CFK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=3.1577271826625393, timeString=03.16, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012620, subwayLine=BD, stationId=CFK1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.82262080495356, timeString=06.82, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012621, subwayLine=BD, stationId=CFK1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=10.185405726315789, timeString=10.19, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012622, subwayLine=BD, stationId=BRD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=0.6933020433436533, timeString=00.69, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012623, subwayLine=BD, stationId=BRD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.7322375232198155, timeString=04.73, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012624, subwayLine=BD, stationId=BRD1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=8.397131145510837, timeString=08.40, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012625, subwayLine=BD, stationId=CHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.7317701547987618, timeString=01.73, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012626, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.770705634674924, timeString=05.77, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012627, subwayLine=BD, stationId=CHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=9.435599256965945, timeString=09.44, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012628, subwayLine=BD, stationId=PAP1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.700879752321981, timeString=02.70, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012629, subwayLine=BD, stationId=PAP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=6.7398152321981435, timeString=06.74, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012630, subwayLine=BD, stationId=PAP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.404708854489165, timeString=10.40, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012631, subwayLine=BD, stationId=DON1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=3.6395565325077404, timeString=03.64, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012632, subwayLine=BD, stationId=DON1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.678492012383902, timeString=07.68, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012633, subwayLine=BD, stationId=DON1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=11.343385634674924, timeString=11.34, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012634, subwayLine=BD, stationId=GWD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=4.769323095975233, timeString=04.77, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012635, subwayLine=BD, stationId=GWD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=8.808258575851394, timeString=08.81, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012636, subwayLine=BD, stationId=GWD1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=12.473152198142417, timeString=12.47, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012637, subwayLine=BD, stationId=COX1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=0.6992470588235296, timeString=00.70, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012638, subwayLine=BD, stationId=COX1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=5.723570154798763, timeString=05.72, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012639, subwayLine=BD, stationId=COX1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=9.762505634674923, timeString=09.76, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16593012640, subwayLine=BD, stationId=WDB1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=2.1346157275541797, timeString=02.13, trainDestination=KEN1, createDate=Sun Sep 17 10:12:03 EDT 2017, systemMessageType=Normal]
